date,qty_sold
2023-01-01,47
2023-01-02,60
2023-01-03,52
2023-01-04,67
2023-01-05,78
2023-01-06,68
2023-01-07,76
2023-01-08,49
2023-01-09,57
2023-01-10,55
2023-01-11,64
2023-01-12,63
2023-01-13,77
2023-01-14,82
2023-01-15,46
2023-01-16,59
2023-01-17,50
2023-01-18,60
2023-01-19,66
2023-01-20,76
2023-01-21,94
2023-01-22,52
2023-01-23,43
2023-01-24,43
2023-01-25,63
2023-01-26,78
2023-01-27,70
2023-01-28,71
2023-01-29,56
2023-01-30,59
2023-01-31,66
2023-02-01,62
2023-02-02,79
2023-02-03,71
2023-02-04,76
2023-02-05,55
2023-02-06,65
2023-02-07,50
2023-02-08,71
2023-02-09,76
2023-02-10,75
2023-02-11,76
2023-02-12,61
2023-02-13,53
2023-02-14,54
2023-02-15,60
2023-02-16,83
2023-02-17,78
2023-02-18,87
2023-02-19,60
2023-02-20,51
2023-02-21,54
2023-02-22,63
2023-02-23,60
2023-02-24,90
2023-02-25,80
2023-02-26,69
2023-02-27,55
2023-02-28,55
2023-03-01,67
2023-03-02,54
2023-03-03,86
2023-03-04,71
2023-03-05,54
2023-03-06,49
2023-03-07,57
2023-03-08,68
2023-03-09,59
2023-03-10,71
2023-03-11,84
2023-03-12,50
2023-03-13,58
2023-03-14,64
2023-03-15,79
2023-03-16,67
2023-03-17,70
2023-03-18,87
2023-03-19,51
2023-03-20,44
2023-03-21,71
2023-03-22,62
2023-03-23,80
2023-03-24,78
2023-03-25,82
2023-03-26,39
2023-03-27,56
2023-03-28,63
2023-03-29,70
2023-03-30,66
2023-03-31,78
2023-04-01,83
2023-04-02,39
2023-04-03,50
2023-04-04,70
2023-04-05,72
2023-04-06,72
2023-04-07,68
2023-04-08,75
2023-04-09,53
2023-04-10,67
2023-04-11,58
2023-04-12,60
2023-04-13,78
2023-04-14,67
2023-04-15,94
2023-04-16,51
2023-04-17,46
2023-04-18,70
2023-04-19,69
2023-04-20,67
2023-04-21,82
2023-04-22,80
2023-04-23,57
2023-04-24,59
2023-04-25,70
2023-04-26,62
2023-04-27,72
2023-04-28,74
2023-04-29,75
2023-04-30,29
2023-05-01,62
2023-05-02,51
2023-05-03,71
2023-05-04,73
2023-05-05,59
2023-05-06,81
2023-05-07,50
2023-05-08,62
2023-05-09,59
2023-05-10,73
2023-05-11,68
2023-05-12,67
2023-05-13,81
2023-05-14,53
2023-05-15,56
2023-05-16,58
2023-05-17,62
2023-05-18,53
2023-05-19,84
2023-05-20,79
2023-05-21,50
2023-05-22,47
2023-05-23,58
2023-05-24,68
2023-05-25,67
2023-05-26,75
2023-05-27,83
2023-05-28,37
2023-05-29,69
2023-05-30,58
2023-05-31,64
2023-06-01,84
2023-06-02,68
2023-06-03,69
2023-06-04,39
2023-06-05,42
2023-06-06,68
2023-06-07,72
2023-06-08,60
2023-06-09,78
2023-06-10,85
2023-06-11,45
2023-06-12,60
2023-06-13,57
2023-06-14,62
2023-06-15,79
2023-06-16,80
2023-06-17,80
2023-06-18,46
2023-06-19,53
2023-06-20,71
2023-06-21,81
2023-06-22,73
2023-06-23,70
2023-06-24,84
2023-06-25,39
2023-06-26,40
2023-06-27,59
2023-06-28,62
2023-06-29,61
2023-06-30,77
2023-07-01,68
2023-07-02,54
2023-07-03,52
2023-07-04,57
2023-07-05,71
2023-07-06,68
2023-07-07,65
2023-07-08,65
2023-07-09,40
2023-07-10,60
2023-07-11,79
2023-07-12,60
2023-07-13,57
2023-07-14,78
2023-07-15,79
2023-07-16,52
2023-07-17,38
2023-07-18,59
2023-07-19,60
2023-07-20,69
2023-07-21,77
2023-07-22,84
2023-07-23,46
2023-07-24,59
2023-07-25,71
2023-07-26,67
2023-07-27,83
2023-07-28,58
2023-07-29,77
2023-07-30,52
2023-07-31,63
2023-08-01,58
2023-08-02,73
2023-08-03,69
2023-08-04,92
2023-08-05,74
2023-08-06,52
2023-08-07,45
2023-08-08,60
2023-08-09,65
2023-08-10,71
2023-08-11,85
2023-08-12,71
2023-08-13,56
2023-08-14,59
2023-08-15,51
2023-08-16,62
2023-08-17,68
2023-08-18,86
2023-08-19,80
2023-08-20,48
2023-08-21,55
2023-08-22,60
2023-08-23,68
2023-08-24,57
2023-08-25,66
2023-08-26,71
2023-08-27,43
2023-08-28,66
2023-08-29,63
2023-08-30,58
2023-08-31,62
2023-09-01,67
2023-09-02,70
2023-09-03,43
2023-09-04,55
2023-09-05,63
2023-09-06,51
2023-09-07,77
2023-09-08,68
2023-09-09,77
2023-09-10,52
2023-09-11,54
2023-09-12,41
2023-09-13,65
2023-09-14,60
2023-09-15,76
2023-09-16,75
2023-09-17,43
2023-09-18,57
2023-09-19,66
2023-09-20,53
2023-09-21,72
2023-09-22,74
2023-09-23,75
2023-09-24,53
2023-09-25,57
2023-09-26,49
2023-09-27,59
2023-09-28,63
2023-09-29,63
2023-09-30,70
2023-10-01,57
2023-10-02,47
2023-10-03,73
2023-10-04,66
2023-10-05,76
2023-10-06,71
2023-10-07,80
2023-10-08,40
2023-10-09,50
2023-10-10,52
2023-10-11,66
2023-10-12,66
2023-10-13,71
2023-10-14,75
2023-10-15,56
2023-10-16,54
2023-10-17,57
2023-10-18,55
2023-10-19,84
2023-10-20,76
2023-10-21,71
2023-10-22,43
2023-10-23,47
2023-10-24,63
2023-10-25,62
2023-10-26,68
2023-10-27,74
2023-10-28,79
2023-10-29,55
2023-10-30,49
2023-10-31,57
2023-11-01,76
2023-11-02,73
2023-11-03,66
2023-11-04,82
2023-11-05,60
2023-11-06,46
2023-11-07,54
2023-11-08,62
2023-11-09,60
2023-11-10,66
2023-11-11,87
2023-11-12,44
2023-11-13,60
2023-11-14,64
2023-11-15,59
2023-11-16,63
2023-11-17,77
2023-11-18,79
2023-11-19,42
2023-11-20,55
2023-11-21,73
2023-11-22,69
2023-11-23,72
2023-11-24,73
2023-11-25,79
2023-11-26,59
2023-11-27,57
2023-11-28,45
2023-11-29,72
2023-11-30,66
2023-12-01,76
2023-12-02,77
2023-12-03,55
2023-12-04,49
2023-12-05,51
2023-12-06,65
2023-12-07,82
2023-12-08,77
2023-12-09,71
2023-12-10,50
2023-12-11,42
2023-12-12,53
2023-12-13,66
2023-12-14,76
2023-12-15,75
2023-12-16,78
2023-12-17,42
2023-12-18,52
2023-12-19,63
2023-12-20,70
2023-12-21,64
2023-12-22,82
2023-12-23,83
2023-12-24,39
2023-12-25,63
2023-12-26,64
2023-12-27,60
2023-12-28,63
2023-12-29,68
2023-12-30,78
2023-12-31,57
